process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW162-37-2-19-13	Community: GW162-37-2-19-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW162-37-2-19-13	Community: GW162-37-2-19-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW190-22-12-11-12	Community: GW190-22-12-11-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW190-22-12-11-12	Community: GW190-22-12-11-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW190-22-12-11-12	Community: GW190-22-12-11-12 10 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW198-41-2-11-13	Community: GW198-41-2-11-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW198-41-2-11-13	Community: GW198-41-2-11-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW199-42-1-28-13	Community: GW199-42-1-28-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW199-42-1-28-13	Community: GW199-42-1-28-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW220-50-12-12-12	Community: GW220-50-12-12-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW220-50-12-12-12	Community: GW220-50-12-12-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW223-39-1-8-13	Community: GW223-39-1-8-13 0.2 micron filter
